file,size_bytes,sha256,rows,columns
results/tables/01_sequence/conserved_positions.csv,821,35f2eea9f3306e4ad2551d1e510e9b98e376dce3ccd6aa1ef0a2e0d12f1489e1,4,7
results/tables/01_sequence/master_dataset.csv,1076116,76430b07faef6f52e031c30921ba62f58c60192091a8b984a9b3c4522cc95b63,692,123
results/tables/01_sequence/physicochemical_summary.csv,5795,5b1b862650e16f8eff5c4749f6c53a03037a90c54af4ff405d2c97cda251e1a1,6,56
results/tables/01_sequence/thermal_labels.csv,438,d3dc4987de228c2c81cde9067989474b8c28cec1d9ad19003a9b894e84342381,14,4
results/tables/02_structure/pdb_structure_features.csv,98304,6a28023e135395decfafd2de1d352bc008e32cbe736335a2de21e6dca7096d28,444,17
results/tables/02_structure/structure_records.csv,285,b80bbbb4536b7338215374ecf73dca6dd329085ae9f16b3ac087cf77257bacba,10,4
results/tables/02_structure/tmalign_summary.csv,374,cae9b0f0c43fccf0014b189fc40b5251bf7dd746cb7e445729c61f284f3380dc,11,3
results/tables/03_foldx/modeller_mutations.csv,301742,6f56266762767acf030ae725c6006e242b032261dbb0db1c3bf6f97ea6048b6d,2250,16
results/tables/03_foldx/pdb_mutations.csv,87849,07771e5c96c6eb172325ad28b62c85141563dd4b163f3a43009a3a8b5f074b5c,704,16
results/tables/03_foldx/pdb_wt_stability.csv,55566,65ae74c8124017ce01ad7851417e99ec760459f3eab4a896932467a4bfa81d13,444,10
results/tables/04_docking/foldx_class_docking_summary.csv,333,66aa046ba6f3e6ec4c0d9bf1fe2286fd96c814051fc5195bd008c89ba13a1175,3,7
results/tables/04_docking/modeller_docking.csv,79693,24cc9b719ec83bc9a1ac01e9ff9d748df83133e67088b5e4b43f7e1510ac9f7d,300,19
results/tables/04_docking/modeller_docking_loss.csv,35236,4d483061a347a9f6e5799a98d2265d7860930286c672d872b4b54e855e8861e0,132,19
results/tables/04_docking/pdb_docking.csv,74162,7de47d635df0da7eb14d64e12592d9102bcd5ec01175d2fed4b9b1397f1f8762,704,12
results/tables/05_ml/MAIN_FOLDX_ML_REPORT.md,1660,8b3791888f92219e10925a48a4eea42e21492775f99a7d77445e67827719ea97,,
results/tables/05_ml/README.md,1571,20d30c44bacebdd7b743a7af4fe1cca1185442f089bd559f62bb9a7bc95ee371,,
results/tables/05_ml/ml_datasets_summary.csv,1248,f3f17f4e86dc47dbc3fb9abe10443aceda16845a9e482dcf12b5b548a3d05753,3,6
results/tables/05_ml/mutation_classification_cv_predictions.csv,642732,fb781e7a6396c1a53ec7e7ff1c947b86947cb9045345deeacaf7b67a74a1764c,5046,11
results/tables/05_ml/mutation_classification_performance.csv,938,a396147b82c6775a9010b09cb5f31ec7016027613808b906371a90c8edb69abc,3,13
results/tables/05_ml/mutation_classification_permutation_importance.csv,2817,3b548951af934792ad6fce362aa83b3c8eab2940f6e618ed49c3f25da4845526,22,5
results/tables/05_ml/mutation_ddg_regression_cv_predictions.csv,1232236,e3362c8128b179280a3cf3d8094e08846b1a8f4018480190fa6e44587144fab9,11320,10
results/tables/05_ml/mutation_ddg_regression_performance.csv,719,0d546d38403e4bfa779094eb5a12795aa57f45ce5bd30bc78cf225fc1407a77b,4,9
results/tables/05_ml/mutation_ddg_regression_permutation_importance.csv,2259,f4aa23abbe4e4f434549e6b01a1035e753ffe9dc784e2515fa6d2604aa293e92,22,5
results/tables/05_ml/wt_regression_cv_predictions.csv,415998,7bd4503b0be64d4c6ca13cb516c8417dbc73ae78a03a13f06c45c78d563b6eeb,3432,9
results/tables/05_ml/wt_regression_performance.csv,764,0802004b94248179f6825160b9e7439c4e1b728a7077890b3d080fcde138f4ef,4,9
results/tables/05_ml/wt_regression_permutation_importance.csv,2345,8abd24bfe7938add31c2bd184d62dfeba9aab00cfcacb35c21de0c8843a455ab,21,5
results/tables/06_md/dssp_summary.csv,22877,ae79ee71afb2aba1c5e85335269fdb9b864f391c4f0e3f2ea9ac494d61e7cde9,24,56
results/tables/06_md/hbond_summary.csv,1156,82aa6b1bb89f773882e9b2e8643347e387ead635444c56e76ef108de41a626d0,12,8
results/tables/06_md/rg_summary.csv,1161,ee1f95dd65dbab171ad78be5ef3348a52c527d44574836f261c91962373fd68f,12,8
results/tables/06_md/rmsd_summary.csv,1173,acd3c12a93d2ab568faabc3e4271d3c3c7ef3528b24e5745977bd43f7b916013,12,8
results/tables/06_md/rmsf_summary.csv,1156,6d5c04d8638af6ec0c515c34cbedcfe0b730afd387a57e26c2e307986d334b31,12,8
results/tables/07_integration/all_candidate_rankings.csv,428930,8b5991c24a45b5d4c8f32c1131dba766f2162cec5e3cae51970942413338518c,2954,14
results/tables/07_integration/all_integration_scores.csv,437510,59c5796674704f600ec258db7be919636d1b8b233e618b53f650a727db0407d7,2954,15
results/tables/07_integration/high_confidence_candidates.csv,459,7099ddc3fcfc258d4d6c3d7d453300bd63ed09f248216065a68339a721781baa,3,9
results/tables/07_integration/top10_homology.csv,994,275d6c2e47690d901be43430cdbf0e5f51e7857dfc73e891df769ddfb19737b5,10,9
results/tables/07_integration/top10_pdb.csv,1270,9c33d073ffa34e9a74629ad09f305ae92356e2d5fcb6e9153ad9dd5e99bdc1bf,10,9
results/tables/07_integration/top15_integrated.csv,2625,8cb2c742a82fa935be305ba4d5a4e65b7601322d96ac57af66080fc97be482f7,15,14
results/tables/README.md,641,2bed3678b95b7cfa43bef751851b194cfc55104988841d77739fbb37ccf65491,,
